Barbie (I) (2023),"Adventure, Comedy, Fantasy",Barbie suffers a crisis that leads her to question her world and her existence.
Coyote Ugly (2000),"Comedy, Drama, Music","Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell."
The Lobster (2015),"Drama, Romance, Sci-Fi","In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods."
Poor Things (2023),"Romance, Sci-Fi","The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
Tiku weds Sheru (2023),"Comedy, Drama, Romance","Tiku, who looks at marriage as her escape to Mumbai from a local town to become an actress and Sheru, who has been working as a junior artist in the city for years. They get married and the comedy of errors for this couple starts"
Deep Valley (1947),"Action, Crime, Drama","A girl living with her parents on an isolated California farm falls in love with a chain-gang convict working at a nearby highway construction site, and sets out to help him when he escapes."
Pretty Woman (1990),"Comedy, Romance","A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
He's Just Not That Into You (2009),"Comedy, Drama, Romance",This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.
She's the Man (2006),"Comedy, Romance, Sport","When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles."
Brooklyn (2015),"Drama, Romance","An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within."
But I'm a Cheerleader (1999),"Comedy, Drama, Romance",A naive teenager is sent to rehab camp when her straitlaced parents and friends suspect her of being a lesbian.
Election (1999),"Comedy, Romance",A high school teacher meets his match in an over-achieving student politician.
(500) Days of Summer (2009),"Comedy, Drama, Romance","After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
Pretty in Pink (1986),"Comedy, Drama, Romance",A poor girl must choose between the affections of dating her childhood sweetheart or a rich but sensitive playboy.
Secretary (2002),"Comedy, Drama, Romance","A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one."
Cruel Intentions (1999),"Drama, Romance",Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.
The Wedding Singer (1998),"Comedy, Music, Romance","Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other."
Drop Dead Gorgeous (1999),"Comedy, Romance, Thriller",A small-town beauty pageant turns deadly as it becomes clear that someone will go to any lengths to win.
The Wraith (1986),"Action, Horror, Romance","In a small town in Arizona, a mysterious man/spirit descends from the sky and manifests in a sports car and targets a local violent road-racing gang of motor heads, headed by a ruthless bully who'll do anything to get what he wants."
The Choice (I) (2016),"Drama, Romance",Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.
Bill & Ted's Excellent Adventure (1989),"Adventure, Comedy, Music","Two rock-'n-rolling teens, on the verge of failing their class, set out on a quest to make the ultimate school history report after being presented with a time machine."
Lady Chatterley's Lover (2022),"Drama, Romance",An unhappily married aristocrat begins a torrid affair with the gamekeeper on her husband's country estate.
Verdens verste menneske (2021),"Comedy, Drama, Romance","The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
Cocktail (1988),"Comedy, Drama, Romance",A talented New York City bartender takes a job at a bar in Jamaica and falls in love.
After Ever Happy (2022),"Drama, Romance","As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for."
