Barbie (I) (2023),"Adventure, Comedy, Fantasy",Barbie suffers a crisis that leads her to question her world and her existence.
Rushmore (1998),"Comedy, Drama, Romance","A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta."
The Proposal (I) (2009),"Comedy, Drama, Romance",A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.
Before Sunrise (1995),"Drama, Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
Click (2006),"Comedy, Drama, Fantasy",A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.
The Life Aquatic with Steve Zissou (2004),"Action, Adventure, Comedy","With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son."
Legend (1985),"Adventure, Fantasy, Romance",A young man must stop the Lord of Darkness from destroying daylight and marrying the woman he loves.
Fifty Shades Freed (2018),"Drama, Romance, Thriller","Anastasia (Dakota Johnson) and Christian (Jamie Dornan) get married, but Jack Hyde (Eric Johnson) continues to threaten their relationship."
Groundhog Day (1993),"Comedy, Drama, Fantasy","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
Just Go with It (2011),"Comedy, Romance","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
Real Genius (1985),"Comedy, Romance, Sci-Fi","An uptight teenage prodigy enters a top engineering college, but feels awkward among the freewheeling students. When a professor aims to turn their laser project into a military weapon, he and his offbeat roommate plot to ruin the plan."
Little Children (2006),"Drama, Romance","The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations in suburban Massachusetts."
Excalibur (1981),"Adventure, Drama, Fantasy","Merlin the magician helps Arthur Pendragon unite the Britons around the Round Table of Camelot, even as dark forces conspire to tear it apart."
The Princess Diaries (2001),"Comedy, Family, Romance","Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year."
Fifty Shades Darker (2017),"Drama, Romance, Thriller","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her."
Forever My Girl (2018),"Comedy, Drama, Music",After being gone for a decade a country star returns home to the love he left behind.
Tangled (2010),"Animation, Adventure, Comedy","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
Heojil kyolshim (2022),"Crime, Drama, Mystery",A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.
Mr. Nobody (2009),"Drama, Fantasy, Romance","A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
The Sound of Music (1965),"Biography, Drama, Family",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
Vanilla Sky (2001),"Fantasy, Mystery, Romance",A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.
"Alice, Darling (2022)","Drama, Romance, Thriller",A young woman trapped in an abusive relationship becomes the unwitting participant in an intervention staged by her two closest friends.
Your Place or Mine (2023),"Comedy, Romance",Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.
The Little Rascals (1994),"Comedy, Family, Romance","Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship."
The Hating Game (2021),"Comedy, Romance","Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him."
The Heartbreak Kid (2007),"Comedy, Romance",A newly wed man who believes he's just gotten hitched to the perfect woman encounters another lady on his honeymoon.
Happiness for Beginners (2023),"Comedy, Drama, Romance","Helen signs up for a wilderness survival course, a year after getting divorced. She discovers through this experience that sometimes, you have to get really lost in order to find yourself."
Wicked: Part One (2024),"Comedy, Drama, Family",The story of how a green-skinned woman framed by the Wizard of Oz becomes the Wicked Witch of the West. The first of a two-part feature film adaptation of the Broadway musical.
Cashback (2006),"Comedy, Drama, Romance","After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild."
Focus (II) (2015),"Comedy, Crime, Drama","In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop."
Cast Away (2000),"Adventure, Drama, Romance",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
Sex and the City (2008),"Comedy, Drama, Romance",A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.
Risky Business (1983),"Comedy, Crime, Drama","A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand."
Mashina lyubvi (2016),"Drama, Romance","Director Pavel Ruminov wanted to break up with his girlfriend. But she had a different opinion on the matter and refused to leave the flat, insisting their story was not over yet."
Footloose (1984),"Drama, Music, Romance","A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace."
Bros (I) (2022),"Comedy, Romance",Two men with commitment problems attempt a relationship.
The Shape of Water (2017),"Drama, Fantasy, Romance","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
Lust och fägring stor (1995),"Drama, Romance, War","In Malmö, Sweden during the Second World War, Stig is a 15-year-old pupil on the verge of adulthood, and Viola is 37 years old and his teacher. He is attracted by her beauty and maturity, ...See full summary»"
Easy A (2010),"Comedy, Drama, Romance",A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.
Jeune et jolie (2013),"Drama, Romance","After losing her virginity, Isabelle takes up a secret life as a call girl, meeting her clients for hotel-room trysts. Throughout, she remains curiously aloof, showing little interest in the encounters themselves or the money she makes."
